"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2002-08-01,"CA","California",98,"Electric Power","NG","natural gas","percent",76.822,"million MMBtu",5.516,"million MMBtu",8344.346,"thousand megawatthours",82.338,"million MMBtu",24068.4010523239,2.88439633882918
2002-08-01,"CA","California",98,"Electric Power","WND","wind","percent",4.84684,"million MMBtu",0,"million MMBtu",476.442,"thousand megawatthours",4.84684,"million MMBtu",1416.79041216019,2.97368916292054
2002-08-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.76175,"million MMBtu",0,"million MMBtu",74.88,"thousand megawatthours",0.76175,"million MMBtu",222.668810289389,2.97367535108693
2002-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",36.54473,"million MMBtu",0.01978,"million MMBtu",2063.45336,"thousand megawatthours",36.56451,"million MMBtu",10688.2519731073,5.17978849452031
2002-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",84.944,"million MMBtu",5.577,"million MMBtu",8940.194,"thousand megawatthours",90.52,"million MMBtu",26460.0993861444,2.95967843495839
2002-07-01,"CA","California",98,"Electric Power","WND","wind","percent",4.50989,"million MMBtu",0,"million MMBtu",443.32,"thousand megawatthours",4.50989,"million MMBtu",1318.29581993569,2.97368902809639
2002-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.86985,"million MMBtu",0,"million MMBtu",85.506,"thousand megawatthours",0.86985,"million MMBtu",254.267757965507,2.97368322650466
2002-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",36.48345,"million MMBtu",0.0178,"million MMBtu",2073.2,"thousand megawatthours",36.50125,"million MMBtu",10669.7603040047,5.14651760756544
2002-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",60.44,"million MMBtu",5.143,"million MMBtu",6566.036,"thousand megawatthours",65.583,"million MMBtu",19170.7103186203,2.91967791809553
2002-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",35.71066,"million MMBtu",0.01465,"million MMBtu",2115.56708,"thousand megawatthours",35.72731,"million MMBtu",10443.5282081263,4.93651480345699
2002-06-01,"CA","California",98,"Electric Power","WND","wind","percent",5.66736,"million MMBtu",0,"million MMBtu",557.098,"thousand megawatthours",5.66736,"million MMBtu",1656.63840982169,2.97369297649909
2002-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.97142,"million MMBtu",0,"million MMBtu",95.49,"thousand megawatthours",0.97142,"million MMBtu",283.957907044724,2.97369260702402
